Denumirea străzii;Numerele caselor;Codul  poştal
Diminiţei;toate;MD-2002
Nicolae Dimo;2-28,  1-23;MD-2068
Nicolae Dimo;25-sf.;MD-2045
Alexandru Diordiţă;1, 2;MD-2012
Alexandru Diordiţă;toate (cu ex.1, 2);MD-2005
Dîmbului;toate;MD-2009
Dobruşa;toate;MD-2038
Andrei Doga;toate;MD-2024
Str-la Andrei Doga;toate;MD-2024
Doina;104/2-sf, 187-sf;MD-2020
Doina;1-185, 2-104(case de locuit);MD-2059
Str-la Doina;toate;MD-2059
Vasilii  Dokuceaev;1-13, 2-28;MD-2028
Vasilii  Dokuceaev;21-sf, 30-sf.;MD-2021
Domniţei;toate;MD-2049
Ion Doncev;2;MD-2005
Ion Doncev;toate (cu ex.2);MD-2004
Alexandru Donici;toate;MD-2064
astronom Nicolae Donici;toate;MD-2049
Dorobanţi;toate;MD-2002
Dragomirna;1-65, 2-68;MD-2008
str-la Dragomirna;toate;MD-2008
Dragomirna (Codru);toate;MD-2019
Maria Drăgan;toate;MD-2044
Drumul Băcioiului;toate;MD-2072
Drumul Crucii;toate;MD-2069
Drumul Schinoasei;toate;MD-2019
Str-la Drumul Schinoasei, 1;toate;MD-2019
Drumul Taberei;toate;MD-2008
Drumul Viilor  str.;67-97, 28-42.;MD-2021
Drumul Viilor  str.;99, 101;MD-2028
Drumul Viilor str.,;1-43, 2-28;MD-2009
Dubăsari;toate;MD-2059
Dumbrava (localitatea);toate;MD-2071
Dumbrava Roşie;toate;MD-2023
Dumbrăvii;toate;MD-2038
Str-la Dumbrăvii;toate;MD-2001
Dumbravei;toate;MD-2011
Liuba Dumitriu;toate;MD-2002
prof. Ion Dumeniuk;toate;MD-2075
Duminica Mare;toate;MD-2002
Durleşti;11-13;MD-2008
Mircea Eliade;toate;MD-2009
Mihai Eminescu;1-13, 2-16;MD-2009
Mihai Eminescu;15-sf, 18-sf;MD-2012
Mihai Eminescu(Codru);toate;MD-2019
Str-la Mihai Eminescu(Codru);toate;MD-2019
George Enescu;15-19, 2-22;MD-2064
George Enescu;24-sf., 21-sf.;MD-2008
Pantelimon Erhan;toate;MD-2002
Eroii Neamului;toate;MD-2075
Fantalului;toate;MD-2005
Făureşti;toate;MD-2023
Fecioarei;toate;MD-2070
Feredeului;toate;MD-2005
Fierarilor;toate;MD-2001
Str-la Fierarilor;toate;MD-2001
Fîntînilor;1-sf., 2-sf.;MD-2038
Florării;toate;MD-2024
Str-la  Florării 1;toate;MD-2024
St--la Florări 2;toate;MD-2024
Floreni;toate;MD-2023
Floreşti;toate;MD-2051
Florile Dalbe;toate;MD-2069
Str-la Florile Dalbe;toate;MD-2069
Florilor;toate;MD-2068
Focşani;toate;MD-2028
Fraţii Apostol;toate;MD-2025
Frumoasa;1-41, 2-48;MD-2009
Frumoasa;43-sf, 50-sf;MD-2021
Frumuşica;toate;MD-2002
Bd.Iurie Gagarin;toate;MD-2001
Galaţi;toate;MD-2028
Galbena;toate;MD-2009
Ion Ganea;toate;MD-2009
Str-la Ion Ganea;toate;MD-2009
Garoafelor;toate;MD-2070
Gării;toate;MD-2001
Ilie Geamănă;toate;MD-2009
Acad. Natalia Gheorghiu;toate;MD-2025
Dumitru Gheorghiţă;toate;MD-2045
Onisifor Ghibu;1-sf,;MD-2051
Onisifor Ghibu;2 -sf.;MD-2071
Ghica -Vodă;toate;MD-2072
Str-la Ghica- Vodă;toate;MD-2072
Gheorghe Ghimpu ;toate;MD-2075
Ghioceilor;toate;MD-2008
Ginta Latină;toate;MD-2044
Gîrlei;2-4;MD-2038
Gliei;2-sf., 1-sf.;MD-2011
Gîrliţei;toate;MD-2001
Gohberg;toate;MD-2019
Octavian Goga;1-7, 2-8;MD-2001
Octavian Goga;9-sf., 10-sf.;MD-2005
Golia;toate;MD-2069
C.Gohberg;toate;MD-2019
Paul Gore;toate;MD-2002
Nicolae Grădescu;toate;MD-2002
Grădinarilor;toate;MD-2059
Grădinilor;60;MD-2005
Grădinilor;21-25, 56-58;MD-2001
Grădinilor;60;MD-2005
Str-la Grădinilor;toate;MD-2001
Grădina Botanica;12, 14/2, 14/3, 15;MD-2032
