Tip;calificativ;Denumirea străzii;Numerele caselor;Codul  poştal
Strada;;Maria Cibotari;1-5, 2-4;MD-2009
Strada;;Maria Cibotari;7-sf, 6-sf;MD-2012
Strada;;Cernăuţi;toate;MD-2032
Strada;;Cernica;1-3, 2-16;MD-2038
Strada;;Cetatea Albă;toate;MD-2002
Strada;;Cetatea Chilia;toate;MD-2002
Strada;;Cetinii;toate;MD-2002
Strada;;Ceucari;toate;MD-2020
Strada;;Vasile Cheltuială;1-15, 2-38;MD-2009
Strada;;Vasile Cheltuială;4a, 40, 42, 15-27;MD-2021
Strada;;Chiţcani;toate;MD-2001
Strada;;Chişinăului (Stăuceni);3,3/1;5
Strada;;Simion Cibotaru;toate;MD-2019
Strada;;Valeri Cicalov;1-5;MD-2026
Strada;;Cimbrului;toate;MD-2070
Strada;;Ştefan Ciobanu;toate;MD-2002
Strada;;Tamara Ciobanu;toate;MD-2008
Strada;;Ciocana;toate;MD-2044
Strada;;Chicago (Străşeni);Asociaţii;MD-2075
Strada;;Ciocîrliei;toate;MD-2021
Strada;;Igor Ciorbă;toate;MD-2002
Strada;;Toma Ciorbă;toate;MD-2004
Strada;;Cioriceşti;toate;MD-2002
Strada;;Circului;toate;MD-2024
Strada;;Cireşilor;toate;MD-2009
Strada;;Cişmele;toate;MD-2070
Strada;;Cîmpului;toate;MD-2011
Strada;;Ciuflea;toate;MD-2001
Strada;;Daniil Ciugureanu;toate;MD-2002
Strada;;Andrei Ciurunga;toate;MD-2045
Strada;;Clopotniţei;toate;MD-2002
Strada;;Ion Cloşca;toate;MD-2019
Strada;;Henri Coandă;toate;MD-2004
Strada;;Cobzarilor;toate;MD-2028
Strada;;Eugen Coca ;1-35, 35/1;MD-2008
Strada;;Eugen Coca;37-sf., 24-sf.;MD-2064
Strada;;Cocieri;toate;MD-2001
Strada;;Gheorghe Codreanu;toate;MD-2008
Strada;;Codrilor;8,10,12;MD-2071
Strada;;Codru;1-15 , 2-4;MD-2019
Strada;;Codrul;Asociaţii;MD-2028
Strada;;Codrul Cosminului;toate;MD-2023
Strada;;Sergiu Coipan;toate;MD-2049
Strada;;Cojocarilor;toate;MD-2001
Strada;;Colina A.  Puşkin;toate;MD-2005
Strada;;Colinei 1;toate;MD-2019
Strada;;Colinei 2;toate;MD-2019
Strada;;Coloniţa;toate;MD-2044
Strada;;Cristofor Columb;1-9.;MD-2026
Strada;;Columna;135-sf, 140-sf;MD-2004
Strada;;Columna;1-79, 2-62;MD-2001
Strada;;Columna;81-133,  66-138;MD-2012
Strada;;Constantin Constantinov;toate;MD-2045
Strada;;Constanţa;toate;MD-2028
Strada;;Constituţiei;toate;MD-2064
Strada;;Constructorilor;toate;MD-2059
Strada;;Copăceni;1-sf., 6-sf.;MD-2038
Strada;Academician ;Nicolae Corlăteanu;toate;MD-2045
Strada;;Corneşti;toate;MD-2024
Strada;;Cornului;toate;MD-2008
Strada;;Vasile Coroban;toate;MD-2051
Strada;;Anatol Corobceanu;1, 7-7a;MD-2012
Strada;;Anatol Corobceanu;11-sf, 10-sf;MD-2004
Strada;;Cosaşilor;toate;MD-2002
Strada;;Alexandru Cosmescu;toate;MD-2009
Strada;;Cosmonauţilor;6, 7-9;MD-2005
Strada;;Costeşti;1-sf., 4-sf.;MD-2028
Strada;;Miron Costin;1-25, 2-26/4;MD-2068
Strada;;Miron Costin;15/2, 19/5, 19/6, 19/7;MD-2045
Strada;;Nicolae H.Costin; 2-16;MD-2064
Strada;;Nicolae H.Costin;3-57, 18-46;MD-2051
Strada;;Nicolae H.Costin;46, 59-sf, 48/1-sf;MD-2071
Strada;;Costiujeni;1,  9, 15/1, 15/2,  6-28;MD-2019
Strada;;Costiujeni;3-7, 30-90;MD-2011
Strada;;Ilie Coşanu;toate;MD-2075
Strada;;Gheorghe Coşbuc;toate;MD-2005
Strada;Academician ;Eugen Coşeriu  ;toate;MD-2045
Strada;;Coşniţa;toate;MD-2001
Strada;;Vasile Covrig;toate;MD-2029
Strada;;Cramei;toate;MD-2005
